column1,Days_for_shipping_real,Days_for_shipment_scheduled,Delivery_Status,Late_delivery_risk,shipping_date_DateOrders,Shipping_Mode,Market,Order_Id
4316,5,4,Shipping canceled,0,2016-04-21 20:11:00.0000000,Standard Class,USCA,32324
4317,2,4,Shipping canceled,0,2016-05-29 00:20:00.0000000,Standard Class,USCA,35076
4318,4,4,Shipping canceled,0,2016-07-24 17:04:00.0000000,Standard Class,USCA,38823
4319,2,4,Shipping canceled,0,2016-06-04 12:14:00.0000000,Standard Class,USCA,35521
4320,4,4,Shipping canceled,0,2016-04-07 00:45:00.0000000,Standard Class,USCA,31378
4321,6,4,Shipping canceled,0,2016-04-10 10:44:00.0000000,Standard Class,USCA,31475
4322,4,4,Shipping on time,0,2016-07-20 18:28:00.0000000,Standard Class,USCA,38553
4323,2,4,Advance shipping,0,2017-01-14 15:46:00.0000000,Standard Class,USCA,50876
4324,4,4,Shipping on time,0,2016-08-31 08:57:00.0000000,Standard Class,USCA,41403
4325,5,4,Late delivery,1,2016-05-23 21:11:00.0000000,Standard Class,USCA,34519
4326,2,4,Advance shipping,0,2016-08-22 18:36:00.0000000,Standard Class,USCA,40951
4327,6,4,Late delivery,1,2016-07-08 18:51:00.0000000,Standard Class,USCA,37595
4328,2,4,Advance shipping,0,2016-05-18 13:50:00.0000000,Standard Class,USCA,34361
4329,4,4,Shipping on time,0,2016-08-17 05:07:00.0000000,Standard Class,USCA,40433
4330,4,4,Shipping on time,0,2016-05-23 05:36:00.0000000,Standard Class,USCA,34543
4331,3,4,Advance shipping,0,2016-05-18 10:09:00.0000000,Standard Class,USCA,34282
4332,4,4,Shipping on time,0,2016-05-21 08:03:00.0000000,Standard Class,USCA,34413
4333,6,4,Late delivery,1,2016-05-04 09:18:00.0000000,Standard Class,USCA,33115
4334,5,4,Late delivery,1,2016-04-19 05:07:00.0000000,Standard Class,USCA,32144
4335,4,4,Shipping on time,0,2016-05-06 14:12:00.0000000,Standard Class,USCA,33403
4336,6,4,Late delivery,1,2016-05-31 02:26:00.0000000,Standard Class,USCA,34945
4337,6,4,Late delivery,1,2016-04-08 06:11:00.0000000,Standard Class,USCA,31325
4338,2,4,Advance shipping,0,2016-05-20 09:37:00.0000000,Standard Class,USCA,34486
4349,2,1,Late delivery,1,2016-09-10 21:54:00.0000000,First Class,USCA,42262
4354,2,4,Advance shipping,0,2016-08-26 18:57:00.0000000,Standard Class,USCA,41226
4355,4,4,Shipping on time,0,2016-08-26 23:51:00.0000000,Standard Class,USCA,41103
4356,2,4,Advance shipping,0,2016-08-22 16:51:00.0000000,Standard Class,USCA,40946
4357,5,4,Late delivery,1,2016-08-24 20:53:00.0000000,Standard Class,USCA,40889
4358,5,4,Late delivery,1,2016-08-22 23:20:00.0000000,Standard Class,USCA,40759
4359,2,1,Late delivery,1,2016-08-19 15:59:00.0000000,First Class,USCA,40738
4360,6,2,Late delivery,1,2016-08-19 12:50:00.0000000,Second Class,USCA,40455
4361,5,4,Late delivery,1,2016-08-18 01:58:00.0000000,Standard Class,USCA,40424
4362,2,4,Advance shipping,0,2016-08-12 04:36:00.0000000,Standard Class,USCA,40226
4363,6,4,Late delivery,1,2016-08-15 10:44:00.0000000,Standard Class,USCA,40175
4364,6,4,Late delivery,1,2016-08-10 16:52:00.0000000,Standard Class,USCA,39850
4365,5,4,Late delivery,1,2016-08-01 01:49:00.0000000,Standard Class,USCA,39259
4366,4,4,Shipping on time,0,2016-07-30 06:12:00.0000000,Standard Class,USCA,39203
4367,4,4,Shipping canceled,0,2016-07-28 19:10:00.0000000,Standard Class,USCA,39103
4368,6,4,Late delivery,1,2016-07-30 18:07:00.0000000,Standard Class,USCA,39100
4369,1,0,Late delivery,1,2016-07-24 11:33:00.0000000,Same Day,USCA,39047
4370,3,4,Advance shipping,0,2016-07-24 20:45:00.0000000,Standard Class,USCA,38902
4371,6,4,Late delivery,1,2016-07-26 10:46:00.0000000,Standard Class,USCA,38805
4372,5,4,Late delivery,1,2016-07-24 18:39:00.0000000,Standard Class,USCA,38759
4373,2,1,Late delivery,1,2016-07-16 21:59:00.0000000,First Class,USCA,38426
4374,5,4,Late delivery,1,2016-07-14 11:39:00.0000000,Standard Class,USCA,38054
4375,2,4,Advance shipping,0,2016-07-11 08:51:00.0000000,Standard Class,USCA,38046
4376,5,4,Late delivery,1,2016-07-12 07:06:00.0000000,Standard Class,USCA,37904
4377,3,4,Advance shipping,0,2016-07-06 14:49:00.0000000,Standard Class,USCA,37652
4378,6,4,Late delivery,1,2016-07-08 03:05:00.0000000,Standard Class,USCA,37550
4379,5,4,Late delivery,1,2016-07-05 17:27:00.0000000,Standard Class,USCA,37454
4380,1,0,Late delivery,1,2016-06-30 00:22:00.0000000,Same Day,USCA,37371
4381,3,4,Advance shipping,0,2016-06-29 00:38:00.0000000,Standard Class,USCA,37132
4382,2,1,Late delivery,1,2016-06-26 04:51:00.0000000,First Class,USCA,37007
4383,4,4,Shipping on time,0,2016-06-26 05:54:00.0000000,Standard Class,USCA,36873
4384,3,2,Late delivery,1,2016-06-18 22:54:00.0000000,Second Class,USCA,36442
4385,2,4,Advance shipping,0,2016-06-13 18:42:00.0000000,Standard Class,USCA,36156
4386,4,2,Late delivery,1,2016-06-15 08:53:00.0000000,Second Class,USCA,36128
4387,5,4,Late delivery,1,2016-06-15 22:44:00.0000000,Standard Class,USCA,36099
4388,4,4,Shipping on time,0,2016-06-13 06:05:00.0000000,Standard Class,USCA,35983
4389,1,0,Late delivery,1,2016-06-07 00:13:00.0000000,Same Day,USCA,35795
4390,2,1,Late delivery,1,2016-06-02 17:50:00.0000000,First Class,USCA,35400
4391,3,4,Advance shipping,0,2016-06-03 13:17:00.0000000,Standard Class,USCA,35387
4392,4,2,Late delivery,1,2016-05-21 16:48:00.0000000,Second Class,USCA,34438
4393,6,2,Late delivery,1,2016-05-21 05:57:00.0000000,Second Class,USCA,34270
4394,2,1,Shipping canceled,0,2016-05-14 17:20:00.0000000,First Class,USCA,34097
4395,3,4,Advance shipping,0,2016-05-12 21:01:00.0000000,Standard Class,USCA,33902
4396,1,0,Late delivery,1,2016-05-04 11:50:00.0000000,Same Day,USCA,33499
4397,6,4,Late delivery,1,2016-05-09 03:10:00.0000000,Standard Class,USCA,33440
4398,3,4,Advance shipping,0,2016-04-30 21:44:00.0000000,Standard Class,USCA,33082
4399,2,4,Advance shipping,0,2016-04-27 06:20:00.0000000,Standard Class,USCA,32901
4400,4,4,Shipping on time,0,2016-04-28 20:31:00.0000000,Standard Class,USCA,32873
4401,4,4,Shipping on time,0,2016-04-24 00:54:00.0000000,Standard Class,USCA,32543
4402,3,4,Advance shipping,0,2016-04-17 21:56:00.0000000,Standard Class,USCA,32192
4403,2,1,Late delivery,1,2016-04-15 21:46:00.0000000,First Class,USCA,32123
4404,0,0,Shipping on time,0,2016-04-11 16:36:00.0000000,Same Day,USCA,31937
4405,2,1,Late delivery,1,2016-04-11 13:21:00.0000000,First Class,USCA,31825
4406,6,4,Late delivery,1,2016-04-09 01:27:00.0000000,Standard Class,USCA,31380
20844,4,2,Late delivery,1,2016-05-12 05:05:00.0000000,Second Class,USCA,33788
20845,3,2,Late delivery,1,2016-07-02 00:27:00.0000000,Second Class,USCA,37337
20846,4,2,Late delivery,1,2016-04-24 04:24:00.0000000,Second Class,USCA,32553
20847,3,2,Late delivery,1,2016-08-24 03:43:00.0000000,Second Class,USCA,40977
20848,6,2,Late delivery,1,2016-06-26 03:48:00.0000000,Second Class,USCA,36730
20849,4,2,Late delivery,1,2016-08-04 15:50:00.0000000,Second Class,USCA,39573
20850,5,2,Late delivery,1,2016-08-12 21:36:00.0000000,Second Class,USCA,40069
20851,5,2,Late delivery,1,2016-05-31 18:22:00.0000000,Second Class,USCA,35059
20852,4,2,Late delivery,1,2016-08-02 13:02:00.0000000,Second Class,USCA,39428
20853,6,2,Late delivery,1,2016-07-25 06:44:00.0000000,Second Class,USCA,38725
20854,4,2,Late delivery,1,2016-04-16 03:43:00.0000000,Second Class,USCA,32003
20855,3,2,Late delivery,1,2016-04-15 03:22:00.0000000,Second Class,USCA,32002
20856,2,2,Shipping on time,0,2016-07-28 12:30:00.0000000,Second Class,USCA,39221
20857,2,2,Shipping on time,0,2016-05-27 04:32:00.0000000,Second Class,USCA,34951
20858,5,2,Late delivery,1,2016-04-13 12:29:00.0000000,Second Class,USCA,31754
20859,6,2,Late delivery,1,2016-05-18 00:52:00.0000000,Second Class,USCA,34050
20860,4,2,Late delivery,1,2016-06-17 23:57:00.0000000,Second Class,USCA,36308
20861,5,2,Late delivery,1,2016-07-31 15:18:00.0000000,Second Class,USCA,39229
20862,6,2,Late delivery,1,2016-08-19 16:20:00.0000000,Second Class,USCA,40465
20863,3,2,Late delivery,1,2016-05-22 10:30:00.0000000,Second Class,USCA,34557
20864,6,2,Late delivery,1,2016-04-09 13:43:00.0000000,Second Class,USCA,31415
20865,3,2,Late delivery,1,2016-05-30 14:41:00.0000000,Second Class,USCA,35117
20866,2,2,Shipping on time,0,2016-06-10 20:38:00.0000000,Second Class,USCA,35956
20867,5,2,Late delivery,1,2016-06-01 13:38:00.0000000,Second Class,USCA,35114
20868,6,2,Late delivery,1,2016-06-30 23:25:00.0000000,Second Class,USCA,37060
20869,2,2,Shipping on time,0,2016-07-08 19:32:00.0000000,Second Class,USCA,37871
20870,3,2,Late delivery,1,2016-08-28 04:03:00.0000000,Second Class,USCA,41252
20871,6,2,Late delivery,1,2016-05-10 03:41:00.0000000,Second Class,USCA,33510
20872,3,2,Late delivery,1,2016-05-04 09:49:00.0000000,Second Class,USCA,33322
20873,3,2,Late delivery,1,2016-04-15 17:23:00.0000000,Second Class,USCA,32042
20874,4,2,Late delivery,1,2016-08-10 03:12:00.0000000,Second Class,USCA,39948
20875,2,2,Shipping on time,0,2016-08-08 02:30:00.0000000,Second Class,USCA,39946
20876,5,2,Late delivery,1,2016-07-13 04:07:00.0000000,Second Class,USCA,37964
20877,2,2,Shipping on time,0,2016-04-28 08:36:00.0000000,Second Class,USCA,32976
20878,4,2,Late delivery,1,2016-06-19 12:44:00.0000000,Second Class,USCA,36413
20879,6,2,Late delivery,1,2016-08-21 01:37:00.0000000,Second Class,USCA,40560
20880,2,2,Shipping on time,0,2016-07-17 03:14:00.0000000,Second Class,USCA,38441
20881,2,2,Shipping on time,0,2016-04-12 14:14:00.0000000,Second Class,USCA,31896
20882,5,2,Late delivery,1,2016-08-09 09:31:00.0000000,Second Class,USCA,39829
20883,2,2,Shipping on time,0,2016-07-08 17:47:00.0000000,Second Class,USCA,37866
20884,5,2,Late delivery,1,2016-05-16 10:31:00.0000000,Second Class,USCA,34009
20885,3,2,Late delivery,1,2016-08-28 09:19:00.0000000,Second Class,USCA,41267
20886,3,2,Late delivery,1,2016-06-10 16:57:00.0000000,Second Class,USCA,35877
20887,5,2,Late delivery,1,2016-05-20 23:07:00.0000000,Second Class,USCA,34319
20888,5,2,Late delivery,1,2016-04-09 10:23:00.0000000,Second Class,USCA,31474
20889,5,2,Late delivery,1,2016-04-21 02:40:00.0000000,Second Class,USCA,32274
20890,4,2,Late delivery,1,2016-08-12 14:46:00.0000000,Second Class,USCA,40118
20891,3,2,Late delivery,1,2016-06-26 09:34:00.0000000,Second Class,USCA,36952
20892,6,2,Late delivery,1,2016-06-01 15:13:00.0000000,Second Class,USCA,35050
20893,3,2,Late delivery,1,2016-05-01 13:30:00.0000000,Second Class,USCA,33127
20951,5,2,Late delivery,1,2016-08-11 01:48:00.0000000,Second Class,USCA,39944
20952,3,2,Late delivery,1,2016-06-20 09:56:00.0000000,Second Class,USCA,36542
20953,3,2,Late delivery,1,2016-08-27 21:03:00.0000000,Second Class,USCA,41232
20954,5,2,Late delivery,1,2016-07-26 21:27:00.0000000,Second Class,USCA,38904
20955,2,2,Shipping on time,0,2016-07-06 07:59:00.0000000,Second Class,USCA,37701
20956,4,2,Late delivery,1,2016-08-11 01:59:00.0000000,Second Class,USCA,40013
20957,4,2,Late delivery,1,2016-08-05 21:36:00.0000000,Second Class,USCA,39658
20958,2,2,Shipping on time,0,2016-06-25 21:29:00.0000000,Second Class,USCA,36986
20959,6,2,Late delivery,1,2016-05-01 04:14:00.0000000,Second Class,USCA,32895
20960,3,2,Late delivery,1,2016-07-06 20:04:00.0000000,Second Class,USCA,37667
21011,6,2,Late delivery,1,2016-06-08 13:38:00.0000000,Second Class,USCA,35525
21012,2,2,Shipping on time,0,2016-05-21 13:39:00.0000000,Second Class,USCA,34566
21013,6,2,Late delivery,1,2016-04-13 19:19:00.0000000,Second Class,USCA,31705
21014,6,2,Late delivery,1,2016-04-26 20:52:00.0000000,Second Class,USCA,32600
21015,6,2,Late delivery,1,2016-04-12 03:02:00.0000000,Second Class,USCA,31590
21016,2,2,Shipping on time,0,2016-05-12 22:57:00.0000000,Second Class,USCA,33976
21017,4,2,Late delivery,1,2016-05-13 16:07:00.0000000,Second Class,USCA,33888
21047,4,2,Late delivery,1,2016-07-03 02:33:00.0000000,Second Class,USCA,37343
21048,5,2,Late delivery,1,2016-07-02 01:52:00.0000000,Second Class,USCA,37204
21049,5,2,Late delivery,1,2016-08-12 02:20:00.0000000,Second Class,USCA,40014
21050,4,2,Late delivery,1,2016-06-08 12:14:00.0000000,Second Class,USCA,35658
21051,6,2,Late delivery,1,2016-05-21 23:28:00.0000000,Second Class,USCA,34320
21052,4,2,Late delivery,1,2016-06-17 15:12:00.0000000,Second Class,USCA,36283
21053,4,2,Late delivery,1,2016-07-06 14:38:00.0000000,Second Class,USCA,37583
21054,2,2,Shipping on time,0,2016-04-25 17:32:00.0000000,Second Class,USCA,32796
21055,2,2,Shipping on time,0,2016-06-25 07:28:00.0000000,Second Class,USCA,36946
21083,6,2,Late delivery,1,2016-05-15 16:49:00.0000000,Second Class,USCA,33890
21084,4,2,Late delivery,1,2016-08-24 14:03:00.0000000,Second Class,USCA,40938
21085,2,2,Shipping on time,0,2016-07-07 19:01:00.0000000,Second Class,USCA,37801
21086,4,2,Late delivery,1,2016-06-16 12:55:00.0000000,Second Class,USCA,36208
21087,4,2,Late delivery,1,2016-04-15 03:12:00.0000000,Second Class,USCA,31933
55,2,2,Shipping on time,0,2016-06-13 15:12:00.0000000,Second Class,USCA,36146
56,5,2,Late delivery,1,2016-08-29 21:45:00.0000000,Second Class,USCA,41234
57,6,2,Late delivery,1,2016-04-19 10:12:00.0000000,Second Class,USCA,32090
58,4,2,Late delivery,1,2016-05-26 14:10:00.0000000,Second Class,USCA,34773
175,5,4,Shipping canceled,0,2016-05-13 17:42:00.0000000,Standard Class,USCA,33824
176,5,4,Shipping canceled,0,2016-04-07 19:51:00.0000000,Standard Class,USCA,31364
177,6,4,Shipping canceled,0,2016-08-20 02:51:00.0000000,Standard Class,USCA,40495
178,2,4,Shipping canceled,0,2016-05-20 16:38:00.0000000,Standard Class,USCA,34506
179,3,4,Shipping canceled,0,2016-05-08 13:40:00.0000000,Standard Class,USCA,33607
180,3,4,Shipping canceled,0,2016-04-24 02:50:00.0000000,Standard Class,USCA,32617
